03/16/2023                                                               Dynamic List Display                                                                       1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Order     |Material      |Target qty|    WBS Element|Occ.|Order Type|MRP ctrlr|Plant|Bsc start |System Status                          |Material description       |
|1000903898|1210027B-X209F|       11 |D-1210027-10849|02  |PP01      |003      |HS01 |03/16/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
|1000903927|1210027B-X209F|       12 |D-1210027-10849|02  |PP01      |003      |HS01 |03/16/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 1 3/8 x 13 1/8 x 8'-7   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000874392|1210110A-X3K  |        6 |D-1210110-10908|01  |PP01      |003      |HS01 |07/28/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874398|1210110A-X3K  |        5 |D-1210110-11036|01  |PP01      |003      |HS01 |07/28/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874399|1210110A-X3K  |        6 |D-1210110-11004|01  |PP01      |003      |HS01 |07/28/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874461|1210110A-X3K  |        3 |D-1210110-11132|01  |PP01      |003      |HS01 |07/28/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874593|1210110A-X3K  |        6 |D-1210110-10524|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874595|1210110A-X3K  |        6 |D-1210110-10652|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874596|1210110A-X3K  |        6 |D-1210110-10780|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874600|1210110A-X3K  |        6 |D-1210110-10748|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874622|1210110A-X3K  |        5 |D-1210110-11132|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874624|1210110A-X3K  |        6 |D-1210110-10620|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000874627|1210110A-X3K  |        3 |D-1210110-10396|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000897202|1210110A-X3K  |        6 |D-1210110-12145|02  |PP01      |003      |HS01 |01/23/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000897205|1210110A-X3K  |        6 |D-1210110-12017|02  |PP01      |003      |HS01 |01/23/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000897206|1210110A-X3K  |        5 |D-1210110-11953|02  |PP01      |003      |HS01 |01/23/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000897208|1210110A-X3K  |        6 |D-1210110-12081|02  |PP01      |003      |HS01 |01/23/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
